asn,asn_name,country,max_bot,max_abuse,network_count
40217,DACSNX-ISP,US,98.387097,25,18
37907,"DIGIROCK DigiRock, Inc.",JP,98.385458,25,34
39029,REDPILL-LINPRO Redpill Linpro,NO,98.384424,25,29
203053,CLAUSWEB,RO,98.383991,25,50
208275,ETNA,FR,98.381877,0,1
15176,AS-INOC,US,98.380567,0,33
213001,LA5,"NL,US",98.379752,0,2
138521,THENETWORKCREW-AS-AP The Network Crew Pty Ltd,AU,98.375185,0,2
204053,ADESTIS-NET,DE,98.37505,0,6
395924,GC-AMERICA,US,98.37233,0,6
136821,IDNIC-3MEDIA-AS-ID PT TRIMEDIA SETIYA DATA,ID,98.372093,0,3
23521,BSERV-1-AS-23521,US,98.369565,0,3
16730,AS16730 - Royal Bank of Canada,CA,98.366297,0,12
16668,GBPSW-AS,US,98.364231,0,8
27647,WEEBLY,US,98.364221,50,9
398989,DEEPINTENT,US,98.360656,0,4
214560,HYDRASHIELD,"DE,FR",98.360656,0,2
202278,XENONCLOUD,DE,98.360656,0,2
59810,HELVETIA,CH,98.360656,0,5
23393,NUCDN,"GB,US",98.359133,50,39
201850,SUPERSPORT-AS,HR,98.356511,0,1
204706,KOLESA-AS,KZ,98.351467,0,3
398291,AS-PHREESIA-1,US,98.347847,0,5
58885,IQONGLOBALPTELTD-AS-AP IQON GLOBAL PTE LTD,SG,98.347107,25,22
54067,CSC-ASN,US,98.345668,0,1
266406,VOE INTERNET,BR,98.344243,0,2
51431,IR-AVABARID-AS,IR,98.341906,25,59
208356,SMARTCITIES-AS,KZ,98.33795,50,2
395836,ALL-STATES-AG-PARTS,US,98.32636,0,1
11171,AUTONATION-FTLD,US,98.322684,0,2
13629,DEEM-INC,US,98.322148,0,3
42620,ALLO-AS,UA,98.321343,0,1
42513,NATILIK-AS,GB,98.318841,0,4
393447,AS-VIRTUALSTACKS,US,98.318823,0,3
209882,CNET,RO,98.312883,25,9
49352,LOGOL-AS,RU,98.310983,50,62
212542,DIIA-AS,UA,98.308938,0,3
268375,L&C PRODB CONSULTORIA E SERVICOS EM TECNOLOGIA DA,BR,98.307579,0,1
30714,PHX-ASN,US,98.306233,0,9
216146,NESNET,TR,98.30543,25,11
33017,HARDFAULT,CA,98.305085,0,2
133126,ETWVPL-AS-AP Eureka Taxis Western Victoria Pty Ltd,AU,98.305085,0,2
201301,SOUNDMOUSE-NETWISE,GB,98.305085,0,3
50465,IQHOST,RU,98.305085,25,4
42585,METAREGISTRAR,NL,98.304686,25,54
208473,ASN-FURRERA,PS,98.296982,0,1
329298,Sive-Setfu-ICT-Solutions-Pty-Ltd,ZA,98.296703,25,1
49206,"PeakFactory, a MSP on IPTV, OTT and VOD with its own CDN","LU,NL",98.295261,0,5
51329,CONNET-AS,GB,98.28722,0,2
213200,FZINK,"AE,DE,GB,IR,NL,US",98.286084,0,11
25192,CZNIC-AS,CZ,98.285955,0,10
204411,BIGBANK,EE,98.285398,0,1
49815,HOST2-AS,BG,98.284561,25,10
34282,UKNOC-AS,GB,98.280202,35,81
135337,CHPL-AS-AP Cloud Himalaya Pvt Ltd,NP,98.279114,25,12
12516,WEBORAMA Weborama provides Internet Services,FR,98.275862,0,2
135142,ENIGMA-AS-AP Enigma Solutions Limited,NZ,98.275862,0,1
216034,NETKIA_AS,ES,98.275862,0,1
206396,ITK-AS,RU,98.275862,0,1
264604,Unixsis Servicos de Unix e Cloud - ME,BR,98.273381,0,2
31151,PHG-AS,GB,98.273155,0,3
398852,NEXTOR-TELECOM,"MX,US",98.272138,0,3
197164,ISARNET-AS,DE,98.271605,0,23
41238,DAA-AS-1,IE,98.268975,0,1
26101,YAHOO-BF1,US,98.268833,25,194
18801,NETBX-1,CA,98.26444,0,4
205067,SWISSNS,CH,98.256538,0,1
20454,SSASN2,"BG,JO,JP,US",98.255852,50,602
36454,WHG-DAL,"CO,US",98.255271,35,146
205380,GEEKTEAMLLLC,"NL,UA",98.253275,0,2
267793,INTUEGO S.R.L.,AR,98.251748,0,1
329054,PSBL1-AS,NG,98.251748,0,1
207467,AS-BKM,BE,98.245614,0,5
328329,ARPCE-AS,CG,98.245614,0,1
10469,RFGNET,US,98.245614,0,1
16992,FLT-15,US,98.240469,0,7
210785,AS-KPLN,DE,98.236332,0,2
398964,AVEVA-AMER,GB,98.233216,0,2
197902,HOSTNET,"FR,NL",98.229516,25,87
30620,CO-DATACENTER,US,98.229077,0,3
41707,ASN-HSDG-DE,DK,98.228128,0,6
17095,BUILDBUDDY-01,US,98.224852,0,2
43476,LBGK1-AS3,PL,98.21972,0,1
200093,T-SYSTEMS-AS,DE,98.215385,0,3
214634,AS-BRESSENDEN,GB,98.214286,0,1
59454,CONSORTIUM,VG,98.214286,0,1
26459,TTD-ASN-01,US,98.214286,0,9
201408,THECALLR,FR,98.214286,0,3
44080,MIKROBIT,PL,98.214286,25,12
8848,CFT-AS,RU,98.213457,0,3
201967,ELINET,AL,98.212788,0,1
203532,S3NS,"FR,US",98.212512,0,22
151358,FPL-AS-AP Finovy Pte. Ltd.,"HK,SG,US",98.209886,0,9
214349,NODEA-AS,PL,98.206107,0,1
57167,CITYHOST-AS,UA,98.202082,25,21
11775,CLOUGIX-11775,US,98.198198,0,5
48631,ODINE-AS,"AE,AU,US",98.198198,0,5
57392,"ONLINESHOP-AS Orhei nr 4 T1, B, 31",RO,98.198198,0,2
199242,MALAKMADZE,"GE,RU,US",98.19667,50,29
4923,AS-SCF-DC,US,98.196393,0,1
14935,MONTICELLO,US,98.196002,35,10
29262,IDEALHOSTING,TR,98.195532,50,136
140885,FADEDSERVERS1-AS-AP FADEDSERVERS PTY LTD,AU,98.192336,0,3
328690,Royal-Science-and-Technology-Park,SZ,98.190789,0,2
262545,CLARANET TECHNOLOGY S.A.,BR,98.186439,25,58
203892,FLOW,CH,98.184019,0,1
57322,RO-YOUWOWME,RO,98.181818,0,1
203746,INTERBCI,RU,98.181818,0,1
9836,HPCLMUMBAI-IN-AS-AP Hindustan Petroleum Corporation Limited,IN,98.181818,0,1
16417,IRONPORT-SYSTEMS-INC,US,98.178078,25,77
213355,HGN-AS,HK,98.175599,60,1
36062,DOUBLE-VERIFY,"NL,US",98.173769,50,7
4892,APPLIEDUK-CLOUD-04,"CA,GB",98.171091,0,3
8301,GIBTELECOMNET,GI,98.168382,0,44
198684,JOINUP-AS,UA,98.165138,0,1
202637,TAZ-AS,RO,98.165138,0,1
213593,NORDICFIGHTER-AS,SE,98.165138,0,2
16376,SYSGROUP-PLC SysGroup Plc,GB,98.161765,25,13
141587,IDNIC-WIKIPAY-AS-ID PT Pembayaran Digital Nusantara,ID,98.159509,0,1
205313,INFOSTUD,RS,98.151909,0,1
22961,ATHERAL,US,98.148148,0,3
202294,Netlojik Bilgi Teknolojileri,"AQ,LV,TR,US",98.148148,0,6
132135,HMCL-NET-IN Hero MotoCorp Ltd,IN,98.148148,0,2
134074,GOLOMTBANK-AS-AP Golomt Bank,MN,98.148148,0,3
149791,STARVERSE-AS-AP StarVerse Network Ltd.,TW,98.148148,25,10
57024,L33-AS,FR,98.148148,0,17
209675,AxisNetworks,"NL,US",98.148148,0,2
209445,NOVOSERVE-DENMARK-AS,DE,98.148148,35,1
210776,MCC,NL,98.147221,0,4
133150,GTISI-AS-AP GGS Technical Information Services Inc.,"BE,VG",98.146688,25,12
40819,VPSDATACENTER,US,98.140559,50,19
141718,HHXYTC-AS-AP haoxiangyun,"DE,FR,HK,IR,JP,LA,NL,SC,US",98.140324,30,81
29205,VERCOM,PL,98.140098,50,13
197303,OCS-AS,RU,98.139535,0,2
33837,PRQ-AS PRQ VPN Network,SE,98.13857,35,9
214762,MATHOST MatHost.eu,PL,98.132154,25,5
137576,EASYCOMMUNICATE-AS-AP EasyCable Pty Ltd,AU,98.130841,0,2
197678,MINISTERSTWO-IT,PL,98.126464,0,1
198691,SPACEADMINS,RS,98.122744,0,2
32338,HOSTISERVER,"CZ,NL,US",98.122421,25,111
262597,CONTINUY SERVICOS EM TECNOLOGIA DA INFORMACAO LTDA,BR,98.119091,0,4
32560,BITXBIT,US,98.117647,0,1
136733,RACKSCENTRAL-AS-AP Racks Central Pte Ltd,SG,98.11561,0,3
153610,TENBYTELIMITED-AS-AP Tenbyte Limited,BD,98.114998,0,3
1218,NCUBE-BELMONT-AS,GB,98.113762,0,36
208216,CH-SWISSCOLOCATION,CH,98.113208,0,1
44970,FIBERAX,"GB,PL",98.113208,0,3
56351,FORAIS-AS,RU,98.113208,0,3
206247,SAVCHUK,CZ,98.113208,0,1
55428,MASSINFONET-AS-AP Mass Infonet P Ltd.,IN,98.113208,0,1
12915,EPAG-AS,"CA,DE",98.113208,0,5
30094,GIGANEWS,"GB,US",98.110661,0,7
209478,SYSPROVIDER,ES,98.109244,0,2
46433,ADF01,US,98.109219,0,6
209302,SHIMAJ-NET-AS,AL,98.10769,0,1
63287,LUCERA,US,98.107256,0,3
35372,DATACOM,"IR,RU",98.106775,25,54
17012,PAYPAL,"SG,US",98.102586,0,17
149682,IDNIC-NOMADEN-AS-ID PT Aplikasi Platform Nomaden,ID,98.098859,0,1
203552,NOINTERNET,SE,98.098859,0,1
266903,SUMMA - SERVICIOS CORPORATIVOS INTEGRALES S.A.S.,CO,98.095238,0,1
400421,AS-SOFTHEON,US,98.095238,0,1
48851,RADWARE,"AE,AU,CL,DE,ES,GB,IL,IN,IT,KE,KR,NL,NZ,PE,SG,US,ZA",98.093637,0,93
266886,HOSTING EN LA WEB S.A.S.,UY,98.086124,0,2
203248,BURTINET,TR,98.08554,25,4
140933,GEEKNETWORKS-AS-AP GEEK INSIDE NETWORKS,AU,98.084291,0,2
208744,UGTCLOUD,GE,98.084235,0,4
53674,KYVONAS-01,US,98.083333,0,1
47494,SNRM,FR,98.08,25,10
214120,LOGICINFO-AS,NL,98.078383,25,24
214156,HZT-KSA-ASN,SA,98.076923,0,2
398705,CENSYS-ARIN-02,US,98.073337,50,2
55293,A2HOSTING,US,98.072459,50,737
328307,Unipack-AS,TN,98.069498,0,2
61236,MEDIACTIVE-NETWORK MEDIACTIVE SAS,FR,98.067633,25,12
139337,OZHOSTING-AS-AP Ozhosting.com Pty Ltd,AU,98.065544,30,14
49157,STARNETWORK,"IL,NL,US",98.065349,25,22
200548,WEBHOSTER,"BA,DE,NL",98.064159,25,25
205278,NETCOM,AL,98.060497,0,2
49834,BESTHOSTING,RU,98.058252,25,30
31241,ASP-BE-AS,BE,98.056995,0,5
20149,NHL-ENT,US,98.055875,0,3
136656,JHSDC-AS Jharkhand Agency For Promotion Of Information Technology,IN,98.055556,0,1
208637,VENDETA4-LTD,BG,98.055105,50,1
47980,HOPPS-GROUP,FR,98.04878,0,1
393577,TRITAN-DEVELOPMENT,"HK,US",98.045603,35,84
16278,ACCENTURE-LABS,NL,98.039216,0,2
201856,HKL24,DE,98.039216,0,2
15293,ASN-ISS-ATL,US,98.039216,0,3
57724,DDOS-GUARD,"BY,KZ,RU",98.032854,50,54
394545,WRIKE-AS,"NL,US",98.031826,0,3
38099,KAKAO-AS-KR Kakao Corp,KR,98.031333,25,39
19950,COUPONS-COM-INCORPORATED,US,98.026316,0,8
263670,Giassi & Cia Ltda,BR,98.026316,0,1
61189,ELKDATA,EE,98.021524,0,21
45638,SYNERGYWHOLESALE-AP SYNERGY WHOLESALE PTY LTD,AU,98.020507,25,81
132005,"XCELLHOST-IN 209, Laxmi Plaza","DE,IN",98.019802,25,23
201692,ZONER-AS,FI,98.015365,25,12
399250,NAMEHERO-KCDC,US,98.013754,50,6
214206,FOUR-SEASONS-HOSTING,"CA,GB",98.011241,25,2
211377,ARYK,FR,98.00905,0,1
135956,MOH-AS-VN The Authority of Information Technology - Ministry of Health,VN,98.0,0,3
39550,KPMG-UK-LLP-AS,GB,98.0,0,3
200896,ARMINCO-AS,AM,98.0,0,1
59688,MARKET-FA,RU,98.0,0,1
5418,NERDNET-AS Research platform for Nerds,NL,98.0,0,1
214415,NEBIUSPA10,FR,97.995116,35,10
47335,ABNTC-NET,RU,97.994495,25,11
215680,FEROXHOSTING-NET,"NL,US",97.990726,0,3
206980,AntiDDoS Solutions LLC AS,"AE,RU,US",97.988405,0,5
202306,HOSTGLOBALPLUS-AS,GB,97.987865,50,3
270631,Totvs S.A.,BR,97.985142,25,44
8137,DISNEYONLINE-AS,US,97.979798,0,11
215291,SIMPLEPOD-AI,PL,97.97126,0,2
14926,KYN-GTS,US,97.971014,0,2
50957,MEMSET,GB,97.969865,25,42
